time,speed,target_speed,throttle,brake,steer,energy,curvature,distance_traveled
0,0.23337373,11.146388053894043,1.0,0.0,0.03340707748617391,1.0,0.0,0.0
1,0.23370573,12.068413734436035,1.0,0.0,0.016705148556477548,1.0,4.7153312392204405e-07,0.0
2,0.20143506,11.978071212768555,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
3,0.16076462,11.979507446289062,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
4,0.12242149,11.980863571166992,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
5,0.09031132,11.981996536254883,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
6,0.06511303,11.982887268066406,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
7,0.04613652,11.983556747436523,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
8,0.03224963,11.984047889709473,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
9,0.404914,11.978732109069824,1.0,0.0,0.011070429784551953,1.0,4.688842175088821e-07,0.006798047672036291
10,1.2732292,11.989266395568848,1.0,0.0,0.010613398010364001,1.0,4.688842175088821e-07,0.05383506924654805
11,1.9584001,11.999690055847168,1.0,0.0,0.009870211478660993,1.0,4.688842175088821e-07,0.13869242232291895
12,2.528722,12.01548957824707,1.0,0.0,0.008940370906007885,1.0,4.688842175088821e-07,0.25438899408982474
13,2.997854,12.001737594604492,1.0,0.0,0.007919217892208114,1.0,4.688842175088821e-07,0.395217765339023
14,3.414825,11.998106002807617,1.0,0.0,0.0068670839395448295,1.0,4.688842175088821e-07,0.5578139681711449
15,3.7997859,11.98551082611084,1.0,0.0,0.00583419402037521,1.0,4.688842175088821e-07,0.740193952392161
16,4.166342,11.983553886413574,1.0,0.0,0.0048589470205196265,1.0,4.688842175088821e-07,0.9411978618470305
17,4.5219407,12.007572174072266,1.0,0.0,0.0007571070656838378,1.0,4.741856227690696e-07,1.1601924156507726
18,4.870838,11.988731384277344,1.0,0.0,0.00026181298789434374,1.0,4.741856227690696e-07,1.396748732928055
19,5.2163625,11.987261772155762,1.0,0.0,9.450025122736489e-05,1.0,4.741856227690696e-07,1.650638278069378
20,5.5071654,11.987197875976562,1.0,0.0,3.448316750750855e-05,1.0,4.741856227690696e-07,1.9208928426104168
21,5.5689406,11.987170219421387,1.0,0.0,1.0238494128038843e-05,1.0,4.741856227690696e-07,2.1971898923507505
22,5.7827873,11.987115859985352,1.0,0.0,-5.449504168495455e-06,1.0,4.741856227690696e-07,2.4818107065026305
