time,speed,target_speed,throttle,brake,steer,energy,curvature
0,0.23337243,12.0,1.0,0.0,-0.033747979097444036,1.0,0.0
1,0.23370592,3.2899630069732666,0.0,1.0,-0.16682904670478277,0.1,0.05294914861900244
2,0.20143525,3.2103283405303955,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
3,0.16076641,3.2103283405303955,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
4,0.12242109,3.2103283405303955,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
5,0.09031116,3.2103283405303955,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
6,0.06511278,3.2103283405303955,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
7,0.046137657,3.2103283405303955,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
8,0.032249823,3.2103283405303955,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
9,0.022295713,3.2103283405303955,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
10,0.015275364,3.2103283405303955,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483
11,0.6447056,3.2103283405303955,1.0,0.0,-0.2886249477679765,1.0,0.05475871370110483
12,1.4281616,3.2103283405303955,1.0,0.0,-0.27677747843077044,1.0,0.05475871370110483
13,2.078487,3.2103283405303955,0.7237133979797363,0.0,-0.25773803600938344,0.5237610824153762,0.05475871370110483
14,2.5725951,3.2103283405303955,0.389011025428772,0.0,-0.23504888522402775,0.15132957790514467,0.05475871370110483
15,2.9282496,3.2103283405303955,0.17322063446044922,0.0,-0.210273623092379,0.030005388202880567,0.05475871370110483
16,3.13725,3.2103283405303955,0.11123982071876526,0.0,-0.18599727351144052,0.012374297713543037,0.05475871370110483
17,3.2442734,3.2103283405303955,0.10602347552776337,0.0,-0.1628060202000316,0.011240977362986238,0.05475871370110483
18,3.2972248,3.2103283405303955,0.10670982301235199,0.0,-0.142080042191669,0.011386986327327486,0.05475871370110483
19,3.310651,3.2103283405303955,0.13230693340301514,0.0,-0.12320576150643428,0.017505124626509883,0.05475871370110483
20,3.311568,3.2103283405303955,0.1433931440114975,0.0,-0.10700247169874787,0.02056159374950206,0.05475871370110483
21,3.3004093,3.2102537155151367,0.1660274714231491,0.0,-0.23995136009031356,0.027565121267164594,0.054760447956849596
22,3.276079,3.2102537155151367,0.20327500998973846,0.0,-0.2239828513449876,0.04132072968632827,0.054760447956849596
23,3.259718,3.2102537155151367,0.21141932904720306,0.0,-0.19912860739130445,0.04469813269476952,0.054760447956849596
24,3.2650847,3.2102537155151367,0.1840505599975586,0.0,-0.17473494698694783,0.033874608635414916,0.054760447956849596
25,3.265986,3.2102537155151367,0.1873362511396408,0.0,-0.15223315066763637,0.03509487099105457,0.054760447956849596
26,3.2717495,3.2102537155151367,0.17640292644500732,0.0,-0.1327243908164672,0.031117992458362664,0.054760447956849596
27,3.270241,3.2102537155151367,0.1848834753036499,0.0,-0.11517203670725505,0.03418189944035532,0.054760447956849596
28,3.272424,3.2102537155151367,0.17869822680950165,0.0,-0.10021188441418344,0.031933056264860094,0.054760447956849596
29,3.2696073,3.2102537155151367,0.1862177848815918,0.0,-0.08673234469000006,0.0346770634062068,0.054760447956849596
30,3.270301,3.2102537155151367,0.18171326816082,0.0,-0.07538642041340357,0.03301971182568608,0.054760447956849596
31,3.26769,3.2102537155151367,0.18734221160411835,0.0,-0.06509156229706443,0.035097104248722255,0.054760447956849596
32,3.26806,3.2102537155151367,0.18370197713375092,0.0,-0.05654582281069051,0.033746416402849144,0.054760447956849596
33,3.2661023,3.2102537155151367,0.1877080649137497,0.0,-0.048706248062231346,0.03523431763366447,0.054760447956849596
34,3.266457,3.2102537155151367,0.18475985527038574,0.0,-0.04230997612636139,0.034136204119533886,0.054760447956849596
35,3.2650676,3.2103748321533203,0.18786239624023438,0.0,-0.21523818991894147,0.03529227992112283,0.05475762914401742
36,3.25394,3.2103748321533203,0.20838890969753265,0.0,-0.2080407384814374,0.04342593768492642,0.05475762914401742
37,3.2385135,3.2103748321533203,0.22797401249408722,0.0,-0.18800587160761256,0.051972150372654236,0.05475762914401742
38,3.2487302,3.2103748321533203,0.1919221729040146,0.0,-0.16569065357404614,0.03683412045219847,0.05475762914401742
39,3.2556984,3.2103748321533203,0.18797574937343597,0.0,-0.1445186699664663,0.035334882352504815,0.05475762914401742
40,3.2654252,3.2103748321533203,0.1752152293920517,0.0,-0.1260486371633209,0.030700376610909297,0.05475762914401742
41,3.2664683,3.2103748321533203,0.18257534503936768,0.0,-0.10936263698953667,0.03333375661624416,0.05475762914401742
42,3.2696462,3.2103748321533203,0.17696630954742432,0.0,-0.0951506427877967,0.0313170747148348,0.05475762914401742
43,3.2672496,3.2103748321533203,0.18465299904346466,0.0,-0.08231995916566144,0.03409673005574576,0.05475762914401742
44,3.2677753,3.2103748321533203,0.18091797828674316,0.0,-0.07154447187177684,0.03273131486736247,0.05475762914401742
45,3.2650025,3.2103748321533203,0.18671618402004242,0.0,-0.06175089429393298,0.034862933375006344,0.05475762914401742
46,3.265061,3.2103748321533203,0.18355312943458557,0.0,-0.05364394550343651,0.033691751325229724,0.05475762914401742
47,3.2629645,3.2103748321533203,0.1875414103269577,0.0,-0.0461872895127015,0.03517178058742432,0.05475762914401742
48,3.2631419,3.2102742195129395,0.18462467193603516,0.0,-0.23702451994513432,0.03408626948748861,0.0547599666677708
49,3.248995,3.2102742195129395,0.21300268173217773,0.0,-0.22933784467785273,0.0453701424250994,0.0547599666677708
50,3.2344115,3.2102742195129395,0.2279023677110672,0.0,-0.2087705666659297,0.051939489208310485,0.0547599666677708
51,3.2383447,3.2102742195129395,0.20531204342842102,0.0,-0.18395794180840916,0.04215303517675384,0.0547599666677708
52,3.253411,3.2102742195129395,0.17889678478240967,0.0,-0.16109862007154999,0.0320040596054838,0.0547599666677708
53,3.2589693,3.2102742195129395,0.18260319530963898,0.0,-0.14022435834802724,0.03334392693729016,0.0547599666677708
54,3.2661824,3.2102742195129395,0.17345567047595978,0.0,-0.12220514509431255,0.030086869620264745,0.0547599666677708
55,3.2652018,3.2102742195129395,0.1823553889989853,0.0,-0.1059781175276551,0.033253487896971246,0.0547599666677708
56,3.2669437,3.2102742195129395,0.17760765552520752,0.0,-0.09219031166396607,0.03154447930116078,0.0547599666677708
57,3.263835,3.2102742195129395,0.18529920279979706,0.0,-0.07974199507305016,0.03433579455824032,0.0547599666677708
58,3.263976,3.2102742195129395,0.1816396713256836,0.0,-0.06930341395248847,0.03299297019930236,0.0547599666677708
59,3.261182,3.2102742195129395,0.18711434304714203,0.0,-0.059804885855118194,0.03501177737396355,0.0547599666677708
60,3.261267,3.2102742195129395,0.18389558792114258,0.0,-0.051955822428518886,0.03381758725686268,0.0547599666677708
61,3.2593257,3.2691614627838135,0.3056865334510803,0.0,-0.24825350897458248,0.09344425673333845,0.053413321604134666
