time,speed,target_speed,throttle,brake,steer,energy,curvature,distance_traveled
0,0.23337243,11.146377563476562,1.0,0.0,-0.033747979097444036,1.0,0.0,0.0
1,0.23370592,3.3223695755004883,0.0,1.0,-0.16682904670478277,0.1,0.05294914861900244,0.0
2,0.20143525,3.232654571533203,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
3,0.16076641,3.2380781173706055,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
4,0.12242109,3.243191719055176,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
5,0.09031116,3.247474193572998,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
6,0.06511278,3.2508344650268555,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
7,0.046137657,3.2533650398254395,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
8,0.032249823,3.2552170753479004,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
9,0.022295713,3.2564949989318848,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
10,0.015275364,3.257349729537964,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
11,0.6447056,3.204637050628662,1.0,0.0,-0.2886249477679765,1.0,0.05475871370110483,0.013231550216338131
12,1.4281616,3.2033376693725586,1.0,0.0,-0.27677747843077044,1.0,0.05475871370110483,0.06859215686709705
13,2.078487,3.209336757659912,0.7262550592422485,0.0,-0.25773803600938344,0.5274464110749619,0.05475871370110483,0.16040719333765385
14,2.5727077,3.2095727920532227,0.38579612970352173,0.0,-0.23504828203591685,0.14883865369421656,0.05475871370110483,0.27942822614651935
15,2.9288473,3.2097249031066895,0.16921013593673706,0.0,-0.21027025717868963,0.028632070103729035,0.05475871370110483,0.4188601495421966
16,3.1376767,3.2097907066345215,0.10803103446960449,0.0,-0.1859893937535897,0.011670704408572874,0.05475871370110483,0.5716065412957528
17,3.243906,3.209641933441162,0.10386715829372406,0.0,-0.16279714016085847,0.01078838657201353,0.05475871370110483,0.7315158399571773
18,3.2959812,3.2090110778808594,0.10439836978912354,0.0,-0.1420769501150629,0.010899019614626582,0.05475871370110483,0.89502978006539
19,3.3085387,3.208028793334961,0.12952224910259247,0.0,-0.12321271098565244,0.016776013012594015,0.05475871370110483,1.0599537345990415
20,3.30856,3.2072460651397705,0.14094758033752441,0.0,-0.10701964780231304,0.0198662204030029,0.05475871370110483,1.2251480859840511
21,3.2964728,3.21024751663208,0.17149750888347626,0.0,-0.23997163023220994,0.029411395553238018,0.054760447956849596,1.390013810175075
22,3.2719164,3.210179567337036,0.2050771713256836,0.0,-0.2240184306267485,0.04205664619894378,0.054760447956849596,1.553847275033499
23,3.256026,3.2101168632507324,0.21201448142528534,0.0,-0.19918680449024212,0.04495014033403266,0.054760447956849596,1.7164002635936133
24,3.2618585,3.210066318511963,0.18416190147399902,0.0,-0.17481243718051595,0.033915605954518924,0.054760447956849596,1.878897098742421
25,3.2631161,3.210012912750244,0.18715722858905792,0.0,-0.15232204993302592,0.03502782821313688,0.054760447956849596,2.041658273200909
26,3.2690938,3.2099623680114746,0.17611627280712128,0.0,-0.13281761461161673,0.031016941547472365,0.054760447956849596,2.2047102120315776
27,3.2676902,3.209907293319702,0.18455253541469574,0.0,-0.11526918125947956,0.034059638327992525,0.054760447956849596,2.367902195483248
28,3.2698991,3.2098543643951416,0.1783800572156906,0.0,-0.10030967190366595,0.03181944481227306,0.054760447956849596,2.531191333506246
29,3.2670586,3.20979905128479,0.18592606484889984,0.0,-0.0868264606209477,0.03456850159019731,0.054760447956849596,2.694478196433445
30,3.2677057,3.209745168685913,0.18144915997982025,0.0,-0.07547855321296217,0.0329237976573824,0.054760447956849596,2.857752543037615
31,3.2650356,3.209150791168213,0.18602202832698822,0.0,-0.0651790418703261,0.03460419502288681,0.054760447956849596,3.0209801918283974
32,3.2652566,3.208265781402588,0.18144933879375458,0.0,-0.05663063516216713,0.03292386254869073,0.054760447956849596,3.184190842106951
33,3.2629297,3.2073984146118164,0.1851969063282013,0.0,-0.04878639583249959,0.034297894113536564,0.054760447956849596,3.347341766996081
34,3.2627008,3.20662784576416,0.18237356841564178,0.0,-0.04238696077742478,0.033260118456654775,0.054760447956849596,3.5104480028193157
35,3.2605877,3.210327625274658,0.19428972899913788,0.0,-0.21525103797980205,0.03774849879455844,0.05475762914401742,3.673493846850552
36,3.2494318,3.2102673053741455,0.21047209203243256,0.0,-0.208049499712816,0.04429850152450876,0.05475762914401742,3.836162275105394
37,3.2347283,3.210205078125,0.22853651642799377,0.0,-0.18802857753643293,0.05222893934104267,0.05475762914401742,3.9977816275372833
38,3.245568,3.210157632827759,0.19194388389587402,0.0,-0.16573237440718155,0.03684245456503277,0.05475762914401742,4.159453955750087
39,3.2529738,3.2101082801818848,0.18770647048950195,0.0,-0.14457535330062835,0.03523371906362627,0.05475762914401742,4.321657985599002
40,3.2629433,3.2100601196289062,0.17486190795898438,0.0,-0.12611283388899552,0.030576686855056323,0.05475762914401742,4.484376918351345
41,3.2640967,3.2100067138671875,0.18219533562660217,0.0,-0.1094327151292225,0.03319514032409021,0.05475762914401742,4.647372974415499
42,3.267292,3.2099545001983643,0.1766205132007599,0.0,-0.09522603896935038,0.031194805683299798,0.05475762914401742,4.810543519017036
43,3.264862,3.209899425506592,0.18434296548366547,0.0,-0.0823935141051958,0.03398232892331188,0.05475762914401742,4.9737163036493435
44,3.2653294,3.209519386291504,0.1799943447113037,0.0,-0.07161793823058242,0.032397964128051626,0.05475762914401742,5.136892512785703
45,3.2624342,3.20876407623291,0.1848529577255249,0.0,-0.06182051074883141,0.0341706159798747,0.05475762914401742,5.300006064495185
46,3.2622073,3.207777500152588,0.1809217929840088,0.0,-0.05371097412475481,0.03273269517654853,0.05475762914401742,5.463073394157017
47,3.2595885,3.207005023956299,0.18511109054088593,0.0,-0.04625255936658464,0.03426611584123607,0.05475762914401742,5.626067942168533
48,3.259072,3.2102210521698,0.1904854029417038,0.0,-0.23698690103513867,0.03628468873386326,0.0547599666677708,5.7890052333511175
49,3.2448573,3.2101590633392334,0.21488499641418457,0.0,-0.22929483457305636,0.046175561683924116,0.0547599666677708,5.951518532068237
50,3.2309046,3.210097551345825,0.22841063141822815,0.0,-0.20874097857686102,0.05217141654487367,0.0547599666677708,6.11287396640286
51,3.2354105,3.2100470066070557,0.20527975261211395,0.0,-0.1839497674493449,0.042139776832490705,0.0547599666677708,6.274083901951445
52,3.250848,3.2100019454956055,0.1786666214466095,0.0,-0.16111103243145386,0.03192176161914606,0.0547599666677708,6.43595151632556
53,3.2566228,3.209951400756836,0.18226535618305206,0.0,-0.1402532198247146,0.033220660064534835,0.0547599666677708,6.598385754441011
54,3.2639256,3.209901809692383,0.1731158047914505,0.0,-0.12224586131785349,0.029969081868591596,0.0547599666677708,6.7612170104809834
55,3.262957,3.2098474502563477,0.1820307970046997,0.0,-0.1060229459822261,0.03313521105816619,0.0547599666677708,6.924207160616942
56,3.2646642,3.209794521331787,0.17732234299182892,0.0,-0.09223963061210481,0.03144321332411182,0.0547599666677708,7.087276946164862
57,3.2614994,3.209547996520996,0.18465907871723175,0.0,-0.07979282615249207,0.03409897535269679,0.0547599666677708,7.250312760323466
58,3.2615454,3.2088067531585693,0.17990262806415558,0.0,-0.0693560253934844,0.0323649555843899,0.0547599666677708,7.413306580501222
59,3.2585125,3.207817554473877,0.18452386558055878,0.0,-0.0598571106880253,0.034049056968792124,0.0547599666677708,7.576236394352391
60,3.2581198,3.2070517539978027,0.18147854506969452,0.0,-0.05200835238605605,0.032934462320613145,0.0547599666677708,7.739101272272258
61,3.255505,3.276721715927124,0.3265271484851837,0.0,-0.2481833483992053,0.10661997869786521,0.053413321604134666,7.901898377626802
62,3.2518363,3.276665449142456,0.2615916132926941,0.0,-0.24037387911752917,0.06843017214507441,0.053413321604134666,8.064441129456323
63,3.2506058,3.276611328125,0.26046186685562134,0.0,-0.21858175768246443,0.06784038408591542,0.053413321604134666,8.226538795726588
64,3.27881,3.2765729427337646,0.20278914272785187,0.0,-0.1929349036332282,0.041123436408297076,0.053413321604134666,8.389417717059203
65,3.3002734,3.2765307426452637,0.1879018396139145,0.0,-0.1683313593230517,0.035307101330293245,0.053413321604134666,8.553626158570667
66,3.3198764,3.276486873626709,0.16989672183990479,0.0,-0.14664420192720046,0.02886489609194598,0.053413321604134666,8.718931687861001
67,3.3254468,3.276435375213623,0.17805473506450653,0.0,-0.12708766955380618,0.03170348867889161,0.053413321604134666,8.884862970937016
68,3.3307855,3.276383399963379,0.17262335121631622,0.0,-0.11032824463989907,0.029798821385151664,0.053413321604134666,9.051112699583026
69,3.3280957,3.276327133178711,0.18302229046821594,0.0,-0.09529596344050001,0.03349715880823201,0.053413321604134666,9.217421881755477
70,3.3281465,3.2762691974639893,0.17991189658641815,0.0,-0.08260362774790252,0.03236829053332202,0.053413321604134666,9.383718508591997
71,3.3241467,3.275200843811035,0.18563859164714813,0.0,-0.07117033949032057,0.034461686708736616,0.053413321604134666,9.549917245014644
72,3.3233624,3.274418830871582,0.1824672967195511,0.0,-0.06164882793953925,0.0332943143721407,0.053413321604134666,9.7160405268959
73,3.3199654,3.2736330032348633,0.18745556473731995,0.0,-0.05299147281833037,0.03513958875098755,0.053413321604134666,9.882056593407954
74,3.319239,5.790513515472412,1.0,0.0,-0.21344262708685857,1.0,0.021493247178639676,10.04799329054674
75,3.3152294,5.791904926300049,1.0,0.0,-0.20416586316685384,1.0,0.021493247178639676,10.213685435408523
76,3.3676534,5.7930684089660645,1.0,0.0,-0.18338444546534816,1.0,0.021493247178639676,10.380317035814517
77,3.5199506,5.7930684089660645,1.0,0.0,-0.15994232974981804,1.0,0.021493247178639676,10.552505159346259
78,3.7701406,5.79408597946167,1.0,0.0,-0.13756315397456229,1.0,0.021493247178639676,10.73549113389706
79,4.062486,5.795170307159424,1.0,0.0,-0.11629687392359978,1.0,0.021493247178639676,10.932474870300835
80,4.375737,5.794830322265625,1.0,0.0,-0.09660224494156883,1.0,0.021493247178639676,11.144818925736057
81,4.700026,5.794973850250244,1.0,0.0,-0.07871029229607171,1.0,0.021493247178639676,11.37321466125503
82,5.030412,5.795371055603027,0.7495571374893188,0.0,-0.06278853627334091,0.5618359023611816,0.021493247178639676,11.618056438453502
83,5.3419514,5.795821666717529,0.4596383571624756,0.0,-0.04922976511289367,0.21126741937501947,0.021493247178639676,11.879150910273324
84,5.434568,3.350313901901245,0.0,1.0,-0.2333699226072791,0.1,0.051923881636260424,12.149835074091424
85,5.404552,3.35017728805542,0.0,1.0,-0.22421601448337744,0.1,0.051923881636260424,12.420816636644904
86,5.332332,3.350039005279541,0.0,1.0,-0.1989086128834827,0.1,0.051923881636260424,12.688551545790572
87,5.08197,3.3498892784118652,0.0,1.0,-0.1658456602561485,0.1,0.051923881636260424,12.949447501342128
88,4.01832,3.349687099456787,0.6690633893013,0.0,-0.13361590790662722,0.447645818903343,0.051923881636260424,13.176355456537827
89,2.6787622,3.349006414413452,1.0,0.0,-0.11386778073710231,1.0,0.051923881636260424,13.336395815166348
90,1.3462178,3.3408823013305664,1.0,0.0,-0.10426889181056859,1.0,0.051923881636260424,13.42980666977553
91,1.6652721,3.345181941986084,1.0,0.0,-0.09803837463835087,1.0,0.051923881636260424,13.50509921779751
92,2.0086386,3.346212863922119,1.0,0.0,-0.09058029668710944,1.0,0.051923881636260424,13.598300034574562
93,2.3628106,3.346552848815918,0.9374892711639404,0.0,-0.0827448163307962,0.8788861335474962,0.051923881636260424,13.709235826269204
94,2.7286139,3.3468379974365234,0.5633763074874878,0.0,-0.07424687945380745,0.3173928638382364,0.051923881636260424,13.838416979255264
95,3.0607474,3.3466672897338867,0.26571547985076904,0.0,-0.06556191855474688,0.07060471623232445,0.051923881636260424,13.985246661958955
96,3.3079605,3.00042724609375,0.0,0.5904242992401123,-0.2707013088186527,0.059042429924011236,0.06333947152563336,14.146270105772592
97,3.3925276,3.000399351119995,0.0,0.16812166571617126,-0.26089322373559726,0.01681216657161713,0.06333947152563336,14.314823828704114
98,3.3838596,3.0003836154937744,0.0,0.06813967227935791,-0.2368595492260604,0.0068139672279357915,0.06333947152563336,14.483867821261937
99,3.3612368,3.0003695487976074,0.0,0.03337869048118591,-0.2082898294525355,0.0033378690481185914,0.06333947152563336,14.65187994541106
100,3.3271205,3.0003576278686523,0.010587424039840698,0.0,-0.18164688763632697,0.00011209354779939673,0.06333947152563336,14.81845411146725
101,3.2765355,3.00034761428833,0.07625219225883484,0.0,-0.1582535947992097,0.005814396824278312,0.06333947152563336,14.982896712134078
