time,speed,target_speed,throttle,brake,steer,energy,curvature,distance_traveled
0,0.23337373,11.241949081420898,1.0,0.0,0.03340707748617391,1.0,0.0,0.0
1,0.23370573,11.24014663696289,1.0,0.0,0.016705148556477548,1.0,4.7153312392204405e-07,0.0
2,0.20143506,11.24014663696289,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
3,0.16076462,11.24014663696289,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
4,0.12242149,11.24014663696289,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
5,0.09031132,11.24014663696289,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
6,0.06511303,11.24014663696289,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
7,0.04613652,11.24014663696289,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
8,0.03224963,11.24014663696289,1.0,0.0,0.011136613899426252,1.0,4.688842175088821e-07,0.0
9,0.404914,11.24014663696289,1.0,0.0,0.011070429784551953,1.0,4.688842175088821e-07,0.006798047672036291
10,1.2732292,11.238581657409668,1.0,0.0,0.010613398010364001,1.0,4.688842175088821e-07,0.05383506924654805
11,1.9584001,11.235718727111816,1.0,0.0,0.009870211478660993,1.0,4.688842175088821e-07,0.13869242232291895
12,2.528722,11.270864486694336,1.0,0.0,0.008940370906007885,1.0,4.688842175088821e-07,0.25438899408982474
13,2.997854,11.272587776184082,1.0,0.0,0.007919217892208114,1.0,4.688842175088821e-07,0.395217765339023
14,3.414825,11.23949909210205,1.0,0.0,0.0068670839395448295,1.0,4.688842175088821e-07,0.5578139681711449
15,3.7997859,11.237770080566406,1.0,0.0,0.00583419402037521,1.0,4.688842175088821e-07,0.740193952392161
16,4.166342,11.268902778625488,1.0,0.0,0.0048589470205196265,1.0,4.688842175088821e-07,0.9411978618470305
17,4.5219407,11.278219223022461,1.0,0.0,0.0007571070656838378,1.0,4.741856227690696e-07,1.1601924156507726
18,4.870838,11.260880470275879,1.0,0.0,0.00026181298789434374,1.0,4.741856227690696e-07,1.396748732928055
19,5.2163625,11.26944351196289,1.0,0.0,9.450025122736489e-05,1.0,4.741856227690696e-07,1.650638278069378
20,5.5071654,11.26763916015625,1.0,0.0,3.448316750750855e-05,1.0,4.741856227690696e-07,1.9208928426104168
21,5.5689406,11.26763916015625,1.0,0.0,1.0238494128038843e-05,1.0,4.741856227690696e-07,2.1971898923507505
22,5.7827873,11.264640808105469,1.0,0.0,-5.449504168495455e-06,1.0,4.741856227690696e-07,2.4818107065026305
23,6.013995,11.264640808105469,1.0,0.0,-2.834376915857089e-05,1.0,4.741856227690696e-07,2.7777155898895174
24,6.3374033,11.2621431350708,1.0,0.0,-0.002134003551486804,1.0,4.7683452917880525e-07,3.0879488946953932
25,6.637794,11.232418060302734,1.0,0.0,-0.0018191408759021652,1.0,4.7683452917880525e-07,3.414012739712279
26,7.0501847,11.23541259765625,1.0,0.0,-0.0019337958734661727,1.0,4.7683452917880525e-07,3.75914134348528
27,7.378522,11.235883712768555,1.0,0.0,-0.0015622877742368136,1.0,4.7683452917880525e-07,4.121337148105999
28,7.7791715,11.234201431274414,1.0,0.0,-0.0007946522142554826,1.0,4.7683452917880525e-07,4.502362633000102
29,8.132173,11.210681915283203,1.0,0.0,-0.0005288753737690816,1.0,4.7683452917880525e-07,4.901896888325618
30,8.530895,11.205544471740723,1.0,0.0,-0.001983507551499865,1.0,4.7683452917880525e-07,5.320508732942288
31,8.890444,11.205544471740723,1.0,0.0,-0.0016079647309835763,1.0,4.7683452917880525e-07,5.757804696882751
