time,speed,target_speed,throttle,brake,steer,energy,curvature,distance_traveled
0,0.23337243,11.241949081420898,1.0,0.0,-0.033747979097444036,1.0,0.0,0.0
1,0.23370592,3.4408371448516846,0.0,1.0,-0.16682904670478277,0.1,0.05294914861900244,0.0
2,0.20143525,3.374640703201294,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
3,0.16076641,3.374640703201294,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
4,0.12242109,3.3848276138305664,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
5,0.09031116,3.3848276138305664,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
6,0.06511278,3.3848276138305664,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
7,0.046137657,3.3848276138305664,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
8,0.032249823,3.3848276138305664,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
9,0.022295713,3.3848276138305664,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
10,0.015275364,3.3848276138305664,1.0,0.0,-0.2920537923478327,1.0,0.05475871370110483,0.0
11,0.6447056,3.374640703201294,1.0,0.0,-0.2886249477679765,1.0,0.05475871370110483,0.013231550216338131
12,1.4281616,3.3776731491088867,1.0,0.0,-0.27677747843077044,1.0,0.05475871370110483,0.06859215686709705
13,2.078487,3.3656558990478516,0.8741734027862549,0.0,-0.25773803600938344,0.7641791381388998,0.05475871370110483,0.16040719333765385
14,2.5817297,3.3568146228790283,0.5162233114242554,0.0,-0.2350147457847316,0.26648650725782375,0.05475871370110483,0.2795970562567017
15,2.9735591,3.3742246627807617,0.28147178888320923,0.0,-0.2100536152269099,0.0792263679371139,0.05475871370110483,0.4204539537544858
16,3.2374187,3.3742246627807617,0.12885624170303345,0.0,-0.18515395888992012,0.016603931025830576,0.05475871370110483,0.577097586479011
17,3.3765473,3.3742246627807617,0.11444675922393799,0.0,-0.16130409577119706,0.013098060696862035,0.05475871370110483,0.7430519286640714
18,3.4479525,3.3742246627807617,0.11039647459983826,0.0,-0.1398978354002277,0.012187381604072733,0.05475871370110483,0.9138171609340399
19,3.4715362,3.3742246627807617,0.1341477632522583,0.0,-0.12047289376232853,0.017995622385583943,0.05475871370110483,1.0866948507297511
20,3.4775147,3.3742246627807617,0.14525780081748962,0.0,-0.10381107287684205,0.02109982869833349,0.05475871370110483,1.260233960472315
21,3.4684527,3.3742246627807617,0.1688893735408783,0.0,-0.23737557611681653,0.028523620495030322,0.054760447956849596,1.4336294962884724
22,3.4442084,3.3742246627807617,0.20796599984169006,0.0,-0.22109683745817077,0.04324985709015383,0.054760447956849596,1.6060937779145559
23,3.427358,3.3742246627807617,0.21715697646141052,0.0,-0.19552284024399105,0.047157152425861604,0.054760447956849596,1.7772149061743865
24,3.4328713,3.3742246627807617,0.1889863908290863,0.0,-0.17035977175218742,0.035715855918604156,0.054760447956849596,1.948263831097194
25,3.433691,3.3784220218658447,0.2009788453578949,0.0,-0.1472962670725042,0.04039249628139263,0.054760447956849596,2.119557165839785
26,3.4400437,3.3784220218658447,0.18458771705627441,0.0,-0.12738533369787675,0.03407262528804722,0.054760447956849596,2.2911533388119376
27,3.4395928,3.3784220218658447,0.19153624773025513,0.0,-0.10964290319584814,0.03668613419458566,0.054760447956849596,2.4629263541432227
28,3.4425614,3.3784220218658447,0.18482759594917297,0.0,-0.0945973626554763,0.03416124022435074,0.054760447956849596,2.6348340611966816
29,3.4402401,3.3742246627807617,0.1837138533592224,0.0,-0.0811812662624508,0.033750779916093876,0.054760447956849596,2.806773332884303
30,3.4404,3.3742246627807617,0.18493959307670593,0.0,-0.06994983482855764,0.03420265308737758,0.054760447956849596,2.9787091414813927
31,3.4365783,3.3742246627807617,0.1924307942390442,0.0,-0.05987351208396688,0.03702961057146936,0.054760447956849596,3.1505423240746313
32,3.4358552,3.3742246627807617,0.18974727392196655,0.0,-0.051562480848051706,0.03600402796081781,0.054760447956849596,3.322295575815426
33,3.4332485,3.3742246627807617,0.19394227862358093,0.0,-0.04402455383149451,0.0376136074377067,0.054760447956849596,3.493973750389965
34,3.4331577,3.3742246627807617,0.1912226676940918,0.0,-0.21620918420505328,0.03656610864004506,0.05475762914401742,3.6656117761624327
35,3.41851,3.3742246627807617,0.2202058583498001,0.0,-0.2080620543509218,0.04849062005157223,0.05475762914401742,3.836822203627682
36,3.4075773,3.3742246627807617,0.22725673019886017,0.0,-0.18745216846913043,0.05164562142067752,0.05475762914401742,4.006962986231168
37,3.4117682,3.3742246627807617,0.2077544927597046,0.0,-0.16371567756181893,0.04316192926184215,0.05475762914401742,4.177061781830318
38,3.4253402,3.3784220218658447,0.19296160340309143,0.0,-0.14212770746077677,0.037234180387891946,0.05475762914401742,4.347753148256614
39,3.4304779,3.3784220218658447,0.1918005794286728,0.0,-0.1226142872975968,0.03678746226917462,0.05475762914401742,4.5189365960458
40,3.437866,3.3784220218658447,0.18186481297016144,0.0,-0.10591511664207867,0.0330748101966718,0.05475762914401742,4.690511721963839
41,3.4376273,3.3742246627807617,0.18101850152015686,0.0,-0.09100705563761062,0.03276769789260303,0.05475762914401742,4.862259567770127
42,3.4389052,3.3742246627807617,0.18209795653820038,0.0,-0.07845941409678361,0.033159665775388314,0.05475762914401742,5.034089379148934
43,3.4350233,3.3742246627807617,0.19083575904369354,0.0,-0.06723040751249798,0.03641828692978266,0.05475762914401742,5.205832378085086
44,3.4341936,3.3742246627807617,0.18831339478492737,0.0,-0.05791059730188377,0.03546193465542391,0.05475762914401742,5.377506442305449
45,3.4310777,3.3742246627807617,0.19343121349811554,0.0,-0.04949822240649095,0.037415634355353555,0.05475762914401742,5.549066028553788
46,3.430756,3.3742246627807617,0.19067592918872833,0.0,-0.23729721627467093,0.03635730997198494,0.0547599666677708,5.72057954474037
47,3.4153874,3.3742246627807617,0.22088590264320374,0.0,-0.22880527039860035,0.04879058198650288,0.0547599666677708,5.891642349910803
48,3.400593,3.3742246627807617,0.23497405648231506,0.0,-0.20700848367583852,0.05521280721975419,0.0547599666677708,6.061455703391176
